MES,AÑO,UNIDADES,fecha
1,2017,253444,2017-01-01
2,2017,193992,2017-02-01
3,2017,186097,2017-03-01
4,2017,197583,2017-04-01
5,2017,187599,2017-05-01
6,2017,174542,2017-06-01
7,2017,196361,2017-07-01
8,2017,150744,2017-08-01
9,2017,220241,2017-09-01
10,2017,205199,2017-10-01
11,2017,277863,2017-11-01
12,2017,595356,2017-12-01
1,2018,245732,2018-01-01
2,2018,194537,2018-02-01
3,2018,265426,2018-03-01
4,2018,307054,2018-04-01
5,2018,303288,2018-05-01
6,2018,306632,2018-06-01
7,2018,272489,2018-07-01
8,2018,277905,2018-08-01
9,2018,321273,2018-09-01
10,2018,295376,2018-10-01
11,2018,364986,2018-11-01
12,2018,836414,2018-12-01
1,2019,328378,2019-01-01
2,2019,276340,2019-02-01
3,2019,372333,2019-03-01
4,2019,328097,2019-04-01
5,2019,384015,2019-05-01
6,2019,355664,2019-06-01
7,2019,330853,2019-07-01
8,2019,421421,2019-08-01
9,2019,409064,2019-09-01
10,2019,330470,2019-10-01
11,2019,318822,2019-11-01
12,2019,795181,2019-12-01
1,2020,375540,2020-01-01
2,2020,308139,2020-02-01
